U92 A2539
U396 A6595
U1694 A3113
U154 A1045
U1706 A16481
U897 A207
U858 A2820
U493 A7198
U818 A4741
U1164 A13097
U993 A961
U1030 A12073
U983 A11689
U1486 A1759
U645 A1115
U1865 A9002
U1267 A335
U1436 A498
U95 A2581
U303 A701
U687 A719
U1647 A222
U606 A1036
U1883 A13863
U1055 A12277
U1496 A15091
U1296 A1090
U1805 A2586
U1404 A704
U1640 A361
U343 A1747
U891 A229
U1222 A533
U1506 A216
U723 A1075
U314 A318
U187 A3998
U436 A922
U883 A1619
U1386 A684
U1802 A191
U144 A481
U1601 A284
U313 A378
U1159 A13070
U1127 A4819
U1702 A16440
U1699 A2507
U640 A9042
U687 A1364
U355 A1635
U194 A1083
U1800 A3679
U1646 A4141
U975 A1364
U250 A4888
U222 A4520
U1744 A4504
U257 A3458
U914 A749
U274 A5195
U1284 A13825
U230 A2525
U1771 A740
U1227 A194
U994 A9434
U733 A3437
U1504 A15143
U487 A482
U931 A2411
U1348 A6920
U880 A11009
U112 A522
U1465 A185
U602 A1090
U1664 A16069
U285 A1075
U483 A149
U1862 A1034
U857 A597
U1770 A2116
U482 A481
U812 A2529
U64 A1882
U1384 A150
U528 A7948
U932 A205
U576 A185
U1257 A2588
U241 A1320
U1764 A222
U152 A2768
U1698 A204
U59 A1755
U1284 A7178
U900 A6866
U837 A2251
U180 A957
U397 A178
U1118 A11396
U1774 A10265
U1096 A2610
U1232 A435
U75 A749
U1364 A14405
U28 A1049
U1466 A6097
U1583 A149
U410 A4762
U500 A483
U36 A674
U1164 A224
U1613 A794
U141 A1895
U1093 A699
U1459 A5313
U1709 A16523
U222 A945
U623 A201
U1561 A15541
U258 A182
U515 A7742
U1795 A3408
U648 A843
U906 A1024
U1552 A4114
U13 A583
U425 A32
U544 A62
U1457 A3657
U1755 A233
U242 A533
U1798 A17068
U1253 A177
U1246 A7
U1372 A252
U12 A461
U18 A736
U331 A284
U1166 A542
U1844 A1416
U1649 A16004
U1872 A215
U1248 A704
U838 A10648
U674 A9308
U90 A2125
U334 A461
U1421 A3694
U1535 A149
U1675 A16197
U42 A1111
U31 A1136
U223 A1047
U1014 A11929
U1623 A413
U979 A278
U768 A83
U1071 A228
U1323 A178
U1652 A1401
U299 A202
U866 A1192
U1859 A8512
U496 A696
U1394 A678
U278 A5295
U418 A3478
U450 A1878
U1215 A11891
U271 A5136
U1615 A692
U797 A3318
U1217 A46
U679 A9364
U496 A699
U1213 A284
U1280 A1494
U464 A3296
U712 A398
U1317 A1874
U1294 A66
U1112 A186
U1852 A1444
U78 A2220
U1081 A297
U1702 A16443
U1851 A62
U1754 A895
U363 A5953
U1859 A7499
U49 A168
U483 A7510
U359 A83
U431 A6981
U1421 A860
U187 A1143
U901 A11038
U1774 A60
U1787 A280
U145 A523
U7 A342
U1868 A1422
U218 A540
U683 A9418
U533 A7970
U1565 A2018
U969 A2378
U13 A577
U1215 A424
U236 A4703
U16 A225
U735 A313
U1235 A7927
U1056 A3628
U23 A320
U1582 A941
U280 A177
U1094 A288
U4 A193
U575 A8410
U252 A1515
U1077 A9665
U512 A7727
U667 A36
U492 A522
U298 A520
U161 A1960
U1814 A2613
U335 A1173
U557 A2540
U1849 A1416
U1624 A290
U224 A198
U752 A284
U1453 A212
U1191 A3950
U1149 A295
U1514 A4779
U105 A2774
U1626 A15879
U1129 A149
U1261 A13696
U1674 A3244
U671 A2516
U448 A1505
U854 A10769
U970 A284
U497 A2599
U629 A4072
U324 A749
U1118 A506
U61 A1800
U1284 A13819
U1340 A2561
U860 A1006
U1016 A11947
U1556 A3465
U631 A1462
U1483 A14999
U1320 A702
U1113 A528
U388 A287
U995 A2251
U1256 A13667
U1583 A2275
U1776 A6909
U467 A252
U1267 A283
U460 A813
U1434 A1377
U1892 A1101
U252 A4899
U11 A487
U391 A470
U876 A423
U1107 A12704
U225 A1718
U1476 A2764
U1825 A8900
U1368 A1082
U1128 A5823
U1471 A970
U157 A3552
U1555 A7543
U1809 A910
U870 A222
U704 A6585
U44 A322
U1238 A6680
U1806 A6312
U421 A681
U1287 A805
U832 A5444
U800 A10384
U1403 A3567
U1566 A316
U1145 A2919
U1619 A1192
U722 A1780
U456 A252
U1296 A5319
U1501 A15131
U1286 A10321
U1787 A4469
U1216 A1407
U16 A683
U387 A1605
U1610 A229
U1733 A407
U1565 A1960
U808 A158
U1335 A680
U1545 A15396
U1794 A10268
U192 A2576
U806 A10419
U1769 A4808
U29 A1079
U704 A4890
U275 A5231
U1274 A1040
U814 A1253
U1071 A854
U975 A1350
U841 A84
U665 A1625
U1287 A1406
U910 A3009
U596 A5622
U1241 A1091
U52 A1591
U846 A316
U1723 A179
U235 A202
U1515 A2006
U1452 A2006
U854 A6837
U1603 A60
U1433 A10576
U1642 A216
U1497 A1108
U272 A5162
U695 A675
U822 A2495
U740 A461
U1211 A13392
U1675 A16189
U745 A9880
U287 A1047
U1216 A3434
U671 A4622
U1272 A1098
U1824 A60
U1609 A337
U1248 A3420
U1878 A1661
U523 A7871
U40 A186
U981 A964
U1208 A92
U582 A411
U1374 A4892
U513 A7733
U1166 A678
U1182 A344
U1806 A4172
U438 A60
U1629 A1238
U1866 A373
U1634 A3186
U1171 A13144
U828 A600
U1376 A699
U129 A252
U1428 A5427
U963 A1033
U91 A674
U601 A4702
U621 A1505
U897 A11126
U670 A286
U151 A1944
U1297 A287
U886 A1884
U270 A5132
U617 A8890
U820 A696
U1235 A13494
U1140 A207
U645 A1812
U935 A4118
U1716 A1803
U1840 A681
U13 A544
U1868 A461
U1005 A6618
U1294 A13879
U426 A1241
U1117 A6905
U1553 A7073
U1192 A321
U1890 A1143
U445 A1143
U107 A1183
U723 A501
U1471 A955
U1543 A855
U510 A1844
U1695 A3222
U591 A84
U995 A207
U483 A528
U1838 A2011
U310 A2419
U320 A5762
U1675 A16203
U1691 A1605
U521 A30
U1438 A675
U1080 A531
U178 A93
U1068 A361
U487 A7551
U278 A5297
U91 A287
U1052 A12238
U1461 A1096
U309 A84
U1220 A13456
U1710 A306
U1378 A849
U1572 A2602
U486 A518
U509 A1392
U1489 A15051
U641 A676
U479 A149
U156 A2007
U1683 A2797
U663 A9238
U1412 A14602
U433 A4818
U1387 A6266
U543 A8078
U1155 A2405
U444 A1096
U1651 A16022
U820 A947
U776 A4097
U1465 A11563
U110 A849
U843 A185
U1847 A3271
U978 A1178
U1160 A2556
U40 A1384
U1337 A493
U1528 A384
U1123 A2361
U592 A8562
U1309 A686
U1771 A461
U1572 A771
U587 A493
U387 A60
U951 A604
U746 A2456
U563 A8302
U668 A1364
U1220 A13454
U1410 A1239
U634 A201
U864 A10868
U748 A9937
U1377 A14462
U300 A1287
U459 A418
U712 A8062
U1524 A15254
U376 A1266
U1525 A2514
U1437 A291
U67 A1398
U1601 A2959
U620 A286
U1618 A964
U1581 A463
U1208 A286
U1766 A297
U50 A495
U1049 A154
U252 A175
U1654 A229
U989 A696
U736 A9810
U1854 A6948
U1485 A5461
U510 A286
U1081 A3061
U1044 A1459
U1575 A56
U142 A321
U1852 A308
U1829 A2582
U1669 A16101
U683 A915
U1552 A15445
U1365 A528
U314 A335
U1466 A14873
U182 A1404
U1127 A4043
U612 A2507
U701 A503
U1485 A10340
U358 A6202
U1558 A325
U1663 A9116
U934 A181
U209 A4368
U1823 A695
U695 A964
U340 A905
U257 A2332
U996 A436
U681 A9409
U593 A518
U1133 A1241
U1704 A217
U151 A158
U1821 A283
U1055 A774
U385 A1633
U949 A1605
U1545 A15395
U528 A3167
U1783 A301
U1842 A5333
U1839 A7006
U1441 A851
U151 A3423
U329 A284
U1172 A232
U1436 A185
U728 A9760
U1751 A1040
U1821 A534
U765 A10126
U1706 A7482
U1084 A1893
U1756 A13197
U856 A4756
U1537 A730
U102 A2691
U1053 A11317
U397 A2000
U1481 A14986
U743 A2514
U1838 A521
U1529 A339
U1142 A2586
U336 A698
U54 A1635
U763 A1108
U1263 A411
U571 A193
U700 A9220
U1256 A8227
U226 A1778
U1502 A284
U876 A3720
U580 A3445
U620 A309
U1582 A1110
U841 A540
U781 A609
U941 A1364
U735 A357
U512 A850
U714 A165
U1644 A84
U1113 A154
U1832 A954
U1737 A222
U1125 A993
U339 A5975
U897 A4050
U763 A1369
U1460 A14832
U840 A344
U398 A283
U948 A253
U1347 A14186
U1884 A2208
U1137 A146
U189 A222
U1430 A230
U1736 A512
U1748 A16767
U442 A301
U1306 A414
U44 A479
U1835 A5755
U1174 A2446
U1829 A301
U1368 A154
U1190 A201
U1532 A1404
U403 A909
U431 A67
U921 A326
U155 A1096
U19 A288
U1163 A2588
U647 A3245
U843 A177
U1249 A62
U1786 A698
U1828 A748
U1458 A92
U1024 A2325
U1263 A326
U1408 A539
U151 A3431
U1355 A11215
U1106 A704
U80 A2286
U413 A326
U1523 A535
U692 A506
U1597 A9030
U678 A290
U369 A946
U1180 A2423
U889 A322
U18 A765
U1098 A990
U1204 A2013
U610 A222
U802 A344
U1606 A10693
U188 A4020
U1723 A60
U1281 A760
U675 A459
U292 A5451
U548 A6618
U421 A328
U819 A538
U583 A1828
U950 A3815
U153 A320
U949 A3281
U934 A1123
U503 A4472
U642 A321
U450 A6117
U277 A5246
U1213 A696
U311 A715
U1749 A16770
U897 A609
U1808 A17170
U119 A3011
U1113 A749
U1721 A2508
U1684 A299
U958 A11545
U1726 A2641
U1752 A162
U1575 A3989
U50 A1562
U404 A372
U355 A176
U136 A168
U958 A3315
U959 A785
U1445 A4717
U558 A1462
U524 A4885
U386 A1771
U330 A2588
U1590 A5530
U1145 A4195
U384 A2588
U1060 A366
U745 A9874
U1794 A1949
U582 A1950
U782 A10258
U1868 A252
U329 A900
U613 A3464
U575 A378
U1133 A777
U1304 A798
U52 A1594
U1875 A93
U354 A1417
U427 A917
U954 A324
U442 A7118
U240 A434
U1570 A3181
U71 A641
U761 A2080
U1078 A1077
U1707 A10204
U605 A50
U1078 A1205
U1320 A6587
U1530 A3949
U880 A6490
U4 A233
U1341 A84
U1150 A3272
U1888 A9296
U1667 A46
U496 A290
U1594 A699
U316 A5685
U362 A6250
U1557 A459
U1364 A14410
U34 A495
U1007 A1194
U1129 A860
U878 A872
U1841 A535
U371 A67
U1629 A215
U1795 A3245
U1666 A953
U1029 A84
U545 A771
U1248 A1415
U1358 A2567
U719 A9672
U1549 A463
U995 A8852
U359 A60
U1507 A1101
U1567 A222
U447 A518
U192 A4097
U1250 A1036
U1575 A3870
U28 A290
U414 A6788
U1623 A2662
U1892 A9753
U1462 A3742
U1538 A1398
U635 A299
U342 A6010
U1363 A168
U238 A4713
U1647 A1108
U190 A1255
U897 A9805
U1721 A84
U1525 A1929
U1422 A5331
U1724 A3186
U144 A1036
U258 A1884
U247 A3266
U575 A8432
U410 A1307
U142 A288
U1109 A421
U238 A4727
U1331 A4072
U1350 A3723
U1813 A883
U1344 A1241
U753 A10012
U1701 A1496
U589 A8533
U684 A9425
U1333 A12889
U1378 A2550
U1195 A13245
U386 A520
U579 A851
U364 A335
U289 A915
U148 A3373
U1670 A16130
U641 A423
U1846 A1096
U705 A202
U1608 A1865
U1331 A36
U1622 A1846
U1828 A5036
U951 A6078
U1870 A54
U55 A1037
U161 A3652
U1501 A7981
U552 A301
U743 A9850
U858 A302
U67 A749
U1333 A2672
U619 A3418
U1802 A1971
U409 A450
U1524 A232
U255 A4924
U825 A6006
U277 A5266
U1168 A10788
U471 A284
U505 A3821
U1024 A11988
U633 A922
U598 A8621
U593 A296
U26 A1017
U1304 A12324
U259 A14
U824 A154
U1226 A1505
U826 A702
U912 A11257
U1288 A543
U372 A228
U1161 A610
U470 A3288
U89 A2496
U606 A1108
U1636 A328
U1755 A959
U156 A3285
U1768 A7506
U1422 A571
U189 A1114
U64 A56
U1243 A1758
U351 A6127
U1247 A682
U601 A782
U505 A2919
U1044 A84
U1685 A13083
U321 A711
U1488 A3688
U49 A721
U1228 A684
U1729 A16631
U1812 A434
U272 A5169
U1388 A14
U499 A344
U235 A4695
U1271 A859
U1098 A710
U278 A424
U305 A1239
U1474 A335
U1161 A215
U394 A6555
U1615 A3452
U1516 A15221
U1151 A528
U975 A719
U1787 A520
U541 A316
U618 A51
U1447 A9007
U1677 A518
U911 A1140
U558 A8215
U1321 A11206
U1812 A1178
U1824 A335
U771 A1082
U282 A456
U961 A1075
U776 A470
U503 A323
U1009 A692
U1827 A3852
U1273 A8456
U619 A8911
U368 A1003
U1624 A257
U1804 A5996
U403 A704
U1627 A6311
U1358 A12777
U717 A481
U703 A2764
U1861 A1502
U1736 A804
U629 A8973
U456 A355
U225 A4537
U1391 A432
U447 A175
U190 A674
U1280 A1098
U1039 A328
U509 A205
U523 A4448
U1149 A320
U1327 A1239
U1215 A9944
U688 A2165
U1278 A1235
U1717 A16540
U1544 A15372
U1645 A696
U1091 A12553
U1699 A454
U557 A6581
U8 A379
U1138 A696
U527 A201
U619 A8905
U349 A420
U396 A712
U519 A285
U1291 A207
U1036 A419
U459 A84
U1822 A674
U764 A10108
U1606 A578
U150 A1209
U980 A2116
U334 A532
U922 A226
U470 A676
U733 A9782
U133 A3038
U958 A4233
U1057 A627
U995 A10386
U84 A2009
U464 A6506
U1219 A13434
U1141 A293
U671 A3950
U1263 A730
U381 A6441
U1488 A1376
U763 A10106
U1633 A252
U1616 A1548
U1502 A3357
U1831 A518
U1342 A1137
U967 A537
U829 A1960
U308 A2525
U1591 A4956
U1154 A212
U263 A846
U1602 A12713
U743 A1701
U739 A222
U754 A10016
U980 A10491
U1325 A678
U1534 A6477
U789 A435
U191 A813
U1340 A1642
U455 A152
U1507 A59
U714 A149
U781 A1084
U474 A6731
U1277 A13795
U987 A916
U1044 A450
U483 A7515
U1237 A1402
U1846 A945
U512 A6587
U1084 A83
U1058 A2192
U1418 A3183
U613 A8792
U1562 A8207
U798 A459
U887 A1030
U932 A6175
U452 A168
U1173 A13170
U1144 A6461
U1477 A540
U158 A1114
U1637 A674
U460 A1404
U739 A210
U1212 A436
U892 A3181
U911 A1096
U1170 A3203
A1090 T3394
A1971 T3110
A967 T192
A6053 T27
A594 T3879
A3340 T109
A596 T85
A224 T306
A12669 T340
A2546 T1019
A15740 T74
A94 T1339
A958 T756
A702 T346
A150 T306
A4826 T372
A1404 T381
A228 T78
A2384 T707
A14988 T383
A3000 T823
A10439 T73
A185 T46
A1236 T635
A4365 T33
A308 T778
A615 T81
A1185 T169
A175 T25
A76 T18
A3364 T73
A61 T346
A1059 T25
A3452 T285
A10512 T78
A252 T102
A2474 T1821
A3802 T9310
A68 T13
A51 T79
A1499 T304
A4510 T5926
A13182 T123
A12362 T341
A675 T18
A6008 T185
A528 T5210
A758 T1130
A8208 T560
A4043 T191
A1090 T402
A167 T73
A12681 T6523
A6743 T102
A252 T206
A1853 T379
A15308 T1081
A493 T79
A384 T847
A9900 T144
A10110 T619
A67 T61
A251 T24
A11283 T6300
A7 T1
A7043 T3518
A225 T78
A10428 T296
A1188 T372
A3335 T185
A711 T383
A4272 T84
A3078 T210
A1471 T1042
A1019 T844
A1628 T3482
A9721 T195
A3811 T818
A17013 T13
A7829 T72
A3905 T595
A850 T5933
A1329 T91
A5035 T127
A7645 T81
A4766 T61
A1036 T194
A6968 T539
A529 T10473
A5342 T306
A727 T80
A1405 T956
A909 T609
A7989 T11062
A924 T193
A1444 T167
A95 T25
A152 T729
A1054 T24
A3786 T21
A977 T1778
A84 T340
A204 T79
A7659 T728
A1375 T789
A1747 T729
A12531 T39
A202 T1341
A1183 T195
A2649 T1864
A67 T16
A288 T130
A524 T564
A570 T7837
A8456 T1040
A732 T76
A461 T39
A11017 T102
A1068 T16
A3694 T7903
A2589 T185
A158 T7713
A869 T917
A15696 T73
A4085 T180
A4197 T82
A1825 T4154
A1478 T49
A6722 T306
A11119 T81
A2078 T234
A216 T7201
A3152 T619
A541 T296
A7892 T11312
A11484 T102
A710 T2156
A10723 T1434
A1390 T24
A2015 T16
A287 T24
A3541 T201
A2997 T2197
A964 T339
A2016 T950
A2298 T11939
A10644 T379
A62 T18
A2586 T18
A784 T130
A1369 T213
A7373 T11387
A1097 T79
A7583 T195
A625 T192
A2948 T1807
A319 T169
A13675 T79
A1236 T2833
A1389 T39
A6049 T14
A11661 T25
A347 T39
A416 T426
A15344 T10008
A16873 T535
A1064 T79
A274 T346
A6640 T3426
A179 T520
A13 T61
A2192 T73
A4395 T5816
A7889 T238
A2251 T27
A45 T7
A8585 T73
A8196 T14
A95 T195
A62 T24
A533 T79
A168 T358
A2633 T169
A11215 T1820
A369 T130
A8041 T10133
A6363 T4409
A1456 T130
A988 T2678
A6008 T185
A15008 T309
A372 T79
A418 T292
A10958 T535
A9620 T5720
A13168 T73
A1806 T192
A400 T73
A2356 T3629
A1865 T72
A12102 T9989
A11605 T1598
A2410 T364
A2208 T2304
A228 T61
A10864 T707
A2692 T1800
A6536 T10984
A1989 T76
A212 T818
A24 T1503
A384 T74
A1426 T39
A84 T24
A4111 T181
A4535 T2244
A65 T18
A8178 T728
A16615 T6536
A4986 T194
A4036 T18
A2222 T102
A6167 T78
A207 T5777
A2586 T3241
A909 T2639
A62 T358
A14961 T102
A58 T1482
A2874 T292
A6510 T346
A2061 T4109
A344 T692
A4895 T25
A961 T108
A13322 T9697
A13744 T400
A1275 T88
A429 T1215
A5319 T81
A2568 T309
A6866 T187
A301 T18
A29 T86
A10990 T73
A1664 T73
A1637 T73
A3706 T25
A2511 T707
A954 T78
A1039 T234
A2006 T6036
A4774 T346
A1445 T399
A6894 T10475
A704 T192
A335 T234
A168 T306
A928 T1
A9573 T169
A6599 T16
A3896 T1935
A4625 T18
A2425 T98
A15506 T521
A210 T7761
A292 T306
A1402 T187
A1539 T5
A13806 T180
A15224 T7
A1846 T2704
A1542 T372
A7542 T2127
A10376 T311
A1223 T181
A1473 T81
A7641 T817
A3467 T6119
A9070 T689
A1382 T718
A939 T25
A10015 T14
A83 T21
A9782 T2492
A495 T370
A14832 T7539
A1343 T6469
A232 T14
A1951 T213
A12498 T67
A4211 T1724
A13029 T73
A231 T7444
A201 T3759
A2947 T379
A1143 T309
A7170 T73
A283 T668
A993 T24
A2081 T49
A6689 T16
A16082 T73
A221 T79
A571 T10055
A10644 T82
A954 T308
A2122 T134
A13386 T8264
A707 T2756
A1542 T1239
A252 T502
A5928 T23
A50 T18
A1548 T24
A787 T39
A86 T25
A6890 T73
A13060 T1223
A215 T346
A573 T823
A5789 T79
A1408 T348
A11851 T10986
A3852 T183
A5323 T824
A3897 T1933
A481 T79
A6298 T1805
A3046 T192
A2958 T1564
A6896 T5713
A13792 T602
A804 T5
A320 T1618
A339 T415
A1881 T8176
A10256 T184
A3375 T73
A7 T1
A6572 T3979
A4876 T5368
A1375 T1479
A228 T802
A602 T381
A6232 T108
A7799 T995
A183 T76
A42 T4
A454 T8738
A17166 T187
A1999 T72
A2107 T81
A1236 T247
A1186 T178
A7301 T191
A2055 T7
A954 T7563
A5313 T73
A5185 T4990
A13537 T292
A46 T84
A3917 T13
A2251 T292
A979 T85
A899 T3113
A609 T78
A5589 T23
A838 T91
A4247 T3090
A603 T191
A855 T475
A998 T3426
A471 T321
A220 T9680
A7536 T14
A996 T25
A7196 T25
A1011 T203
A13940 T687
A13099 T1971
A710 T73
A3905 T24
A2507 T6817
A3876 T1928
A1601 T4335
A400 T700
A11708 T11292
A1527 T380
A3350 T184
A3122 T10901
A222 T1479
A7503 T24
A1964 T78
A2473 T16
A344 T24
A9629 T74
A956 T6654
A152 T203
A1444 T7600
A739 T187
A1293 T74
A4126 T25
A2605 T88
A9773 T302
A9225 T160
A3692 T160
A215 T127
A8394 T605
A215 T192
A3257 T296
A1328 T74
A9503 T990
A2586 T13
A12918 T7712
A1331 T611
A12255 T73
A528 T81
A9514 T79
A65 T21
A4520 T737
A252 T210
A1884 T6618
A1930 T81
A4960 T1
A2767 T3761
A154 T9250
A5621 T817
A8916 T213
A1122 T539
A5952 T3009
A806 T732
A95 T4591
A847 T1033
A11661 T25
A8759 T833
A9351 T18
A937 T25
A1880 T879
A941 T76
A14954 T8047
A1569 T39
A1231 T79
A529 T24
A1980 T11558
A2040 T130
A295 T761
A7743 T4045
A10287 T181
A456 T399
A3425 T4889
A920 T609
A3013 T1510
A2422 T193
A481 T79
A84 T206
A5005 T73
A460 T1082
A967 T9697
A1402 T620
A822 T73
A1520 T91
A1291 T86
A4466 T24
A613 T718
A12727 T130
A7536 T564
A476 T11091
A7039 T84
A711 T84
A2088 T24
A16986 T520
A191 T81
A4402 T8099
A7232 T79
A222 T192
A328 T130
A1147 T81
A9125 T14
A8925 T73
A7285 T130
A719 T380
A7293 T181
A15205 T188
A6111 T80
A1988 T403
A10345 T228
A12006 T7025
A1233 T109
A11617 T130
A2006 T24
A12617 T185
A4306 T636
A1266 T5
A8666 T76
A867 T88
A84 T285
A578 T823
A311 T130
A7650 T3437
A781 T39
A193 T73
A951 T109
A14710 T79
A294 T1116
A1071 T73
A12831 T85
A305 T39
A521 T130
A1147 T195
A284 T707
A16053 T2558
A456 T130
A7338 T620
A2206 T24
A8271 T73
A7537 T2996
A8628 T6303
A46 T25
A4831 T1000
A1397 T199
A1236 T718
A171 T25
A486 T520
A14863 T275
A6659 T1345
A505 T1492
A185 T79
A10534 T275
A284 T1298
A60 T285
A288 T49
A50 T354
A6061 T47
A1110 T78
A13170 T130
A4918 T130
A2116 T84
A1027 T1236
A373 T179
A6999 T33
A6362 T39
A62 T134
A62 T1615
A15703 T620
A2880 T247
A2165 T103
A1512 T109
A13562 T83
A11230 T33
A328 T169
A3196 T103
A895 T14
A802 T370
A2652 T15
A3439 T10133
A205 T497
A939 T380
A4516 T383
A3534 T193
A492 T78
A46 T25
A4032 T127
A313 T109
A3428 T78
A10784 T439
A186 T79
A525 T73
A14498 T98
A3752 T33
A13196 T818
A1992 T210
A1456 T203
A25 T559
A1611 T1873
A10295 T535
A67 T3948
A5810 T18
A15258 T127
A5178 T33
A11633 T192
A4894 T7313
A807 T1
A8429 T8477
A10400 T9136
A6999 T296
A75 T1224
A1238 T358
A1241 T72
A1866 T73
A7703 T309
A5886 T180
A8440 T4356
A248 T25
A10649 T339
A972 T199
A84 T39
A9301 T33
A1901 T139
A5709 T24
A1081 T1918
A12695 T7547
A3783 T7271
A1097 T79
A1526 T25
A8732 T78
A12067 T86
A15943 T1070
A4625 T47
A736 T3031
A67 T195
A1163 T178
A622 T39
A8355 T25
A53 T187
A335 T24
A568 T249
A4012 T346
A4673 T1421
A868 T3604
A76 T56
A7889 T102
A970 T177
A177 T84
A1605 T3112
A8484 T819
A528 T81
A5246 T2561
A450 T2762
A1058 T18
A15242 T73
A3723 T5
A185 T73
A5675 T191
A1533 T194
A955 T1094
A2919 T275
A706 T25
A843 T56
A3019 T187
A171 T192
A998 T195
A5189 T182
A2017 T689
A2529 T1928
A1151 T296
A3433 T383
A8279 T78
A13831 T364
A974 T73
A1631 T3765
A6887 T16
A915 T73
A6917 T721
A2365 T380
A245 T247
A1081 T73
A6684 T191
A150 T25
A278 T83
A8177 T179
A15313 T102
A4229 T594
A1526 T275
A1789 T79
A1234 T192
A2600 T130
A14783 T85
A13331 T81
A2359 T73
A688 T1236
A7055 T10828
A287 T213
A4705 T130
A228 T787
A7600 T10481
A1419 T729
A481 T78
A16136 T6642
A313 T130
A1601 T18
A204 T176
A185 T78
A15396 T2340
A162 T475
A5625 T73
A3152 T185
A10534 T25
A1040 T84
A365 T76
A16385 T73
A993 T195
A223 T127
A3245 T11289
A3801 T73
A305 T5168
A1140 T6199
A3180 T306
A9102 T25
A10445 T296
A6027 T14
A372 T210
A8389 T18
A8471 T18
A13406 T8316
A13542 T83
A15999 T7
A274 T134
A3065 T78
A12418 T13
A528 T9680
A964 T39
A985 T8185
A4762 T569
A12971 T7772
A13371 T33
A4507 T558
A1193 T79
A51 T10324
A84 T199
A1568 T238
A16728 T8178
A96 T58
A900 T24
A1602 T11062
A1106 T3196
A2114 T81
A519 T309
A4208 T24
A198 T8527
A2919 T16
A918 T414
A4272 T216
A11923 T67
A9811 T9308
A204 T79
A10981 T201
A7619 T381
A15768 T10829
A5063 T2679
A1778 T833
A2954 T80
A284 T2304
A1287 T86
A682 T182
A7173 T354
A6664 T1
A15952 T817
A1009 T275
A84 T39
A675 T5096
A201 T81
A224 T81
A8259 T78
A1024 T167
A712 T729
A6703 T195
A5946 T25
A222 T73
A11428 T103
A557 T3879
A6741 T2592
A1789 T1094
A3128 T69
A3614 T775
A3172 T569
A7172 T84
A1114 T8173
A722 T13
A1519 T72
A2572 T73
A6640 T6519
A3840 T24
A185 T79
A3292 T259
A5643 T130
A205 T611
A5778 T72
A2919 T275
A7347 T134
A26 T61
A7468 T181
A2777 T72
A327 T695
A1421 T5413
A792 T18
A6859 T339
A506 T78
A12849 T191
A62 T18
A5607 T137
A6745 T92
A3389 T179
A424 T844
A3264 T18
A67 T2678
A13514 T253
A529 T73
A1602 T102
A1172 T178
A14152 T177
A4918 T79
A320 T648
A4527 T818
A5331 T192
A13335 T9608
A4097 T297
A152 T7600
A62 T24
A506 T185
A67 T47
A9412 T179
A16182 T10766
A543 T18
A3000 T209
A83 T13
A943 T3381
A16946 T1130
A28 T17
A11338 T134
A905 T346
A284 T130
A12304 T127
A900 T819
A11656 T383
A3605 T1873
A1368 T195
A1778 T339
A6856 T20
A225 T680
A224 T81
A3889 T1344
A9631 T18
A3662 T2026
A488 T1
A50 T354
A1820 T2736
A2476 T265
A456 T39
A507 T33
A1039 T383
A2147 T47
A2423 T130
A222 T357
A3181 T309
A16182 T299
A524 T90
A481 T78
A11550 T387
A920 T9291
A13112 T309
A16618 T134
A12862 T602
A953 T79
A391 T139
A439 T87
A158 T73
A11660 T82
A6999 T3663
A8928 T844
A86 T16
A17286 T191
A8067 T613
A1089 T11468
A849 T181
A147 T381
A306 T127
A983 T502
A290 T1548
A158 T192
A749 T18
A158 T418
A2069 T39
A3709 T181
A6099 T81
A2567 T1951
A12272 T818
A1910 T191
A67 T25
A2421 T731
A6748 T3475
A46 T1968
A17272 T109
A3007 T296
A1995 T609
A5779 T179
A1732 T184
A1512 T595
A158 T88
A280 T130
A10853 T582
A5755 T84
A15549 T10168
A5139 T894
A524 T90
A1077 T18
A1404 T381
A7236 T341
A1496 T84
A1292 T86
A10761 T47
A2333 T25
A1944 T387
A372 T177
A1507 T84
A4601 T84
A7174 T78
A392 T7236
A11699 T364
A701 T1168
A12073 T33
A16722 T1130
A2516 T216
A11527 T729
A428 T79
A2118 T477
A53 T18
A424 T25
A4525 T49
A625 T73
A8176 T340
A6366 T103
A4272 T2076
A633 T39
A9820 T24
A11729 T1234
A11739 T216
A1095 T823
A524 T39
A16479 T346
A2393 T520
A14484 T2178
A1624 T84
A1588 T11312
A198 T79
A1109 T521
A7620 T381
A3920 T21
A1108 T9038
A2834 T72
A182 T25
A1262 T86
A17160 T2301
A533 T230
A6260 T73
A4921 T81
A2836 T439
A5508 T182
A10439 T285
A7376 T340
A14420 T84
A1104 T539
A4743 T2480
A1415 T191
A1612 T102
A675 T24
A3059 T11606
A67 T24
A324 T3117
A2552 T130
A15751 T81
A62 T208
A1913 T383
A5425 T127
A92 T81
A7761 T818
A7592 T619
A736 T8785
A7961 T24
A3119 T311
A16049 T194
A1870 T25
A1827 T13
A7639 T15
A6074 T30
A1392 T79
A16655 T195
A62 T25
A283 T130
A177 T8729
A1802 T6379
A2412 T18
A616 T520
A185 T81
A7405 T3873
A1846 T78
A53 T775
A513 T1352
A1705 T18
A188 T16
A297 T635
A1774 T184
A1026 T73
A4070 T21
A36 T81
A8330 T2048
A10718 T721
A11386 T7658
A9064 T25
A1382 T73
A1111 T8403
A7840 T144
A1392 T830
A4538 T2254
A990 T74
A1098 T24
A730 T195
A10869 T47
